filename num_threads num_ops num_float_ops num_comp_ops num_lambda_iter deepest_loop_level num_int_var num_float_var num_if_stmts num_if_stmts_in_loop time_seq(s) time_par(s)
../functions/mat_mat6.hpp 22 1001006 500000 250503 500 2 2 0 1 0 0.684554 0.432955
../functions/mat_mat6.hpp 24 1001006 500000 250503 500 2 2 0 1 0 0.645613 0.419397
../functions/mat_mat6.hpp 26 1001006 500000 250503 500 2 2 0 1 0 0.684459 0.453521
../functions/mat_mat6.hpp 28 1001006 500000 250503 500 2 2 0 1 0 0.660573 0.448543
../functions/mat_mat6.hpp 30 1001006 500000 250503 500 2 2 0 1 0 0.639477 0.456919
../functions/mat_mat6.hpp 32 1001006 500000 250503 500 2 2 0 1 0 0.672373 0.505515
../functions/mat_mat.hpp 1 4002004 2000000 1001002 1000 2 2 0 0 0 11.9482 11.8776
../functions/mat_mat.hpp 2 4002004 2000000 1001002 1000 2 2 0 0 0 12.3157 6.76153
../functions/mat_mat.hpp 4 4002004 2000000 1001002 1000 2 2 0 0 0 13.0956 4.12025
../functions/mat_mat.hpp 6 4002004 2000000 1001002 1000 2 2 0 0 0 12.7606 3.09565
../functions/mat_mat.hpp 8 4002004 2000000 1001002 1000 2 2 0 0 0 13.7198 2.4611
../functions/mat_mat.hpp 10 4002004 2000000 1001002 1000 2 2 0 0 0 12.9991 2.18335
../functions/mat_mat.hpp 12 4002004 2000000 1001002 1000 2 2 0 0 0 13.361 2.04114
../functions/mat_mat.hpp 14 4002004 2000000 1001002 1000 2 2 0 0 0 13.4984 2.19141
../functions/mat_mat.hpp 16 4002004 2000000 1001002 1000 2 2 0 0 0 13.4828 2.01036
../functions/mat_mat.hpp 18 4002004 2000000 1001002 1000 2 2 0 0 0 12.9505 2.15831
../functions/mat_mat.hpp 20 4002004 2000000 1001002 1000 2 2 0 0 0 12.9917 2.2353
../functions/mat_mat.hpp 22 4002004 2000000 1001002 1000 2 2 0 0 0 13.7452 2.20798
../functions/mat_mat.hpp 24 4002004 2000000 1001002 1000 2 2 0 0 0 13.7888 2.19814
../functions/mat_mat.hpp 26 4002004 2000000 1001002 1000 2 2 0 0 0 13.6919 2.06067
../functions/mat_mat.hpp 28 4002004 2000000 1001002 1000 2 2 0 0 0 13.836 2.14236
../functions/mat_mat.hpp 30 4002004 2000000 1001002 1000 2 2 0 0 0 13.8449 2.11921
../functions/mat_mat.hpp 32 4002004 2000000 1001002 1000 2 2 0 0 0 13.7677 2.20767
../functions/mat_vect2.hpp 1 4002 2000 1001 1000 1 1 0 0 0 0.00869014 0.00435404
../functions/mat_vect2.hpp 2 4002 2000 1001 1000 1 1 0 0 0 0.00904214 0.00309488
../functions/mat_vect2.hpp 4 4002 2000 1001 1000 1 1 0 0 0 0.00857015 0.00194536
../functions/mat_vect2.hpp 6 4002 2000 1001 1000 1 1 0 0 0 0.00709182 0.00214001
../functions/mat_vect2.hpp 8 4002 2000 1001 1000 1 1 0 0 0 0.00878149 0.00194752
../functions/mat_vect2.hpp 10 4002 2000 1001 1000 1 1 0 0 0 0.00873254 0.00308719
../functions/mat_vect2.hpp 12 4002 2000 1001 1000 1 1 0 0 0 0.00887124 0.00371514
../functions/mat_vect2.hpp 14 4002 2000 1001 1000 1 1 0 0 0 0.00849305 0.00399695
../functions/mat_vect2.hpp 16 4002 2000 1001 1000 1 1 0 0 0 0.00870683 0.004227
../functions/mat_vect2.hpp 18 4002 2000 1001 1000 1 1 0 0 0 0.00866744 0.00411128
../functions/mat_vect2.hpp 20 4002 2000 1001 1000 1 1 0 0 0 0.00963677 0.00388841
../functions/mat_vect2.hpp 22 4002 2000 1001 1000 1 1 0 0 0 0.00956567 0.00446677
../functions/mat_vect2.hpp 24 4002 2000 1001 1000 1 1 0 0 0 0.00811709 0.00578181
../functions/mat_vect2.hpp 26 4002 2000 1001 1000 1 1 0 0 0 0.00963572 0.00467434
../functions/mat_vect2.hpp 28 4002 2000 1001 1000 1 1 0 0 0 0.00947844 0.00465807
../functions/mat_vect2.hpp 30 4002 2000 1001 1000 1 1 0 0 0 0.00793746 0.00487688
../functions/mat_vect2.hpp 32 4002 2000 1001 1000 1 1 0 0 0 0.00874783 0.00526219
../functions/mat_vect3.hpp 1 402 200 101 100 1 1 0 0 0 0.000166781 0.000445447
../functions/mat_vect3.hpp 2 402 200 101 100 1 1 0 0 0 0.000174254 0.000606292
../functions/mat_vect3.hpp 4 402 200 101 100 1 1 0 0 0 0.00014115 0.000596235
../functions/mat_vect3.hpp 6 402 200 101 100 1 1 0 0 0 0.000169505 0.000702254
../functions/mat_vect3.hpp 8 402 200 101 100 1 1 0 0 0 0.000166223 0.00109148
../functions/mat_vect3.hpp 10 402 200 101 100 1 1 0 0 0 0.000152463 0.00174603
../functions/mat_vect3.hpp 12 402 200 101 100 1 1 0 0 0 0.000170623 0.00135751
../functions/mat_vect3.hpp 14 402 200 101 100 1 1 0 0 0 0.000203168 0.00135066
../functions/mat_vect3.hpp 16 402 200 101 100 1 1 0 0 0 0.000159867 0.00156193
../functions/mat_vect3.hpp 18 402 200 101 100 1 1 0 0 0 0.000117543 0.00166313
../functions/mat_vect3.hpp 20 402 200 101 100 1 1 0 0 0 0.000152115 0.00195709
../functions/mat_vect3.hpp 22 402 200 101 100 1 1 0 0 0 0.000189689 0.00199998
../functions/mat_vect3.hpp 24 402 200 101 100 1 1 0 0 0 0.000223772 0.00187817
../functions/mat_vect3.hpp 26 402 200 101 100 1 1 0 0 0 0.000120616 0.00257665
../functions/mat_vect3.hpp 28 402 200 101 100 1 1 0 0 0 0.000198559 0.00281181
../functions/mat_vect3.hpp 30 402 200 101 100 1 1 0 0 0 0.000203028 0.00287439
../functions/mat_vect3.hpp 32 402 200 101 100 1 1 0 0 0 0.000212457 0.00256806
../functions/mat_vect.hpp 1 40002 20000 10001 10000 1 1 0 0 0 0.383322 0.351919
../functions/mat_vect.hpp 2 40002 20000 10001 10000 1 1 0 0 0 0.400138 0.199361
../functions/mat_vect.hpp 4 40002 20000 10001 10000 1 1 0 0 0 0.40785 0.123351
../functions/mat_vect.hpp 6 40002 20000 10001 10000 1 1 0 0 0 0.398491 0.0852997
../functions/mat_vect.hpp 8 40002 20000 10001 10000 1 1 0 0 0 0.416579 0.0576642
../functions/mat_vect.hpp 10 40002 20000 10001 10000 1 1 0 0 0 0.443015 0.0783517
../functions/mat_vect.hpp 12 40002 20000 10001 10000 1 1 0 0 0 0.396693 0.0891
../functions/mat_vect.hpp 14 40002 20000 10001 10000 1 1 0 0 0 0.39668 0.0977931
../functions/mat_vect.hpp 16 40002 20000 10001 10000 1 1 0 0 0 0.491658 0.0993334
../functions/mat_vect.hpp 18 40002 20000 10001 10000 1 1 0 0 0 0.404133 0.083141
../functions/mat_vect.hpp 20 40002 20000 10001 10000 1 1 0 0 0 0.543082 0.075432
../functions/mat_vect.hpp 22 40002 20000 10001 10000 1 1 0 0 0 0.449456 0.0597732
../functions/mat_vect.hpp 24 40002 20000 10001 10000 1 1 0 0 0 0.541755 0.0552652
../functions/mat_vect.hpp 26 40002 20000 10001 10000 1 1 0 0 0 0.53618 0.053318
../functions/mat_vect.hpp 28 40002 20000 10001 10000 1 1 0 0 0 0.452657 0.0542333
../functions/mat_vect.hpp 30 40002 20000 10001 10000 1 1 0 0 0 0.475947 0.0503199
../functions/mat_vect.hpp 32 40002 20000 10001 10000 1 1 0 0 0 0.443859 0.0543376
../functions/sum_up2.hpp 1 40000002 0 10000001 0 1 1 0 0 0 5.59e-07 0.000263721
../functions/sum_up2.hpp 2 40000002 0 10000001 0 1 1 0 0 0 5.59e-07 0.00030814
../functions/sum_up2.hpp 4 40000002 0 10000001 0 1 1 0 0 0 6.29e-07 0.000525975
../functions/sum_up2.hpp 6 40000002 0 10000001 0 1 1 0 0 0 8.38e-07 0.000839213
../functions/sum_up2.hpp 8 40000002 0 10000001 0 1 1 0 0 0 6.98e-07 0.000603708
../functions/sum_up2.hpp 10 40000002 0 10000001 0 1 1 0 0 0 5.59e-07 0.0011866
../functions/sum_up2.hpp 12 40000002 0 10000001 0 1 1 0 0 0 6.29e-07 0.00114191
../functions/sum_up2.hpp 14 40000002 0 10000001 0 1 1 0 0 0 6.28e-07 0.0014168
../functions/sum_up2.hpp 16 40000002 0 10000001 0 1 1 0 0 0 6.98e-07 0.00176433
../functions/sum_up2.hpp 18 40000002 0 10000001 0 1 1 0 0 0 9.08e-07 0.00182698
